date	chapter	category	decision	promoted_to	status
2026-09-10	1307	PIPELINE	Compare all 74 supplied paragraphs: 31 changed, 43 unchanged. Title and scene 62 unchanged; end omitted. Record delivered 1307, next new 1308, owner revision with source issues pending; retain historical gaps.	chapters/state.json and ledger.tsv	consolidated
2026-09-10	1307	PIPELINE	Fix false glossary matches for life/reappearance and Beast-Taming Dao, truncated 九成九 inventory, and empty or wrong-number chapter checks. Bound detector waits with local completion and resend checked text on missing output.	scripts, tests and workflow.md	consolidated
2026-09-10	1307	PIPELINE	Revise existing prose rules and consolidate duplication instead of accumulating blanket instructions. Move the unchanged 1300-1301 causal block to the existing archive; retain source details and current references.	style-guide.md and continuity-archive.md	consolidated
2026-09-10	1308	MACRO	P2,3,11,26: accept fuller visual phrasing, natural clause arrangement and restrained emphasis; do not turn noonday sun, emergence or falling into fixed synonym rules. A/an and missing punctuation remain mechanics.	style-guide.md	active
2026-09-10	1308	LOCAL	P17 changes into to of, obscuring that the world is not divided into Boundary Heavens. Retain into or use not divided into. P22 restores three coughs and joins them in one voiced utterance. P23 uses an idiomatic criticism of taste.	decision-log.tsv	consolidated
2026-09-10	1308	QUALITY	P25: 四等 may count grades or name a fourth class. Neither the draft count nor owner Entry/Ordinary/Advanced/Pinnacle/Apex/peak Golden Core mapping is verified by source, repo or targeted personal context. Request clarification.	decision-log.tsv	pending
2026-09-10	1308	MACRO	P31: accept expanded realm syntax and the combined status/prerequisite sentence. Do not force compact rank word order. Final step refers to peak Golden Core here, not final cultivation or Transcendence.	style-guide.md and phrase-memory.tsv	active
2026-09-10	1308	LOCAL	P38 adds through, very, in midair, and final locative inversion; these are contextual cadence choices. Added and risks splitting one page into two objects; preserve unambiguous apposition. P42 considered substitutes for thought of.	decision-log.tsv	consolidated
2026-09-10	1308	QUALITY	P48 accompanied by makes the manifestation a visual description. P57 connects counterfactual events and two results but repeats His for two owners; name the Saint for the injuries. Do not promote ambiguous possessives.	style-guide.md and decision-log.tsv	superseded
2026-09-10	1308	MACRO	P63 uses direct govern, a natural current-gods phrase and joined description; keep recent timing conveyed by present perfect. P71 built upon/restore and all he could think about are contextual, not fixed templates.	style-guide.md	active
2026-09-10	1308	QUALITY	P66 clarifies method persistence and court/operational distinction, but the gods narrows the unstated subject from recipient leaders. Prefer they. P80 direct-rule wording correctly retains qualified western autonomy.	phrase-memory.tsv and decision-log.tsv	superseded
2026-09-10	1308	TERM	P74-76: lowercase source jade replaces provisional Origin Jade; Void Stone remains its capitalized alias. Heavenly Wilderness and Ghost Gate are retained. Newborn Continent and patchwork god remain contextual phrases.	terminology.tsv and phrase-memory.tsv	active
2026-09-10	1308	MACRO	P74 fixes the inherited absolute only way by distinguishing normal refinement from conditional rapid repair. Preserve time, resource scale and firewood image. P76 present age restores the temporal framing of 当世.	style-guide.md	active
2026-09-10	1308	MECHANICAL	P11 an Treading becomes a Treading and gains final period; normalize P26 NBSP. P57 comma before but also is unnecessary. All 81 body paragraphs and scene 37 retained; title/end omission does not remove source framing.	decision-log.tsv	active
2026-09-10	1308	FACT	Record world naming, four cultivators prerequisite, missing-page restraint, three leaders arrival, modified-method support, western autonomy, source-jade allocations and conditional Underworld repairs. Archive 1302-1303 intact.	world-reference.md and continuity.md	active
2026-09-10	1308	PIPELINE	20 changed and 61 unchanged body paragraphs compared against exact source/draft. Record delivered 1308, next new 1309, owner revision pending rank/referent clarification. Preserve old gaps and chat-only prose.	chapters/state.json and ledger.tsv	consolidated
2026-09-10	1308	PIPELINE	Fix script-relative root discovery, adverbial 一心只想着 matching and 四等/几万年 inventory. Add behavior tests; remove prose-verbatim assertions that rejected equivalent instruction revisions without testing translations.	scripts and tests	consolidated
2026-09-10	1308	PIPELINE	Clarify owner-revision routing and amend existing rules in place. Budget references before gates, preserve historical detail in the existing archive, and use bounded publishing reads to avoid truncated content dumps.	workflow.md and editing-spec.md	consolidated
2026-09-10	1309	MACRO	P3/5/8/15/33/34/38/41/43/47: natural sequencing, clearer completion, ordinary causal conjunctions and fronted conditions improve flow. Preserve logical strength and concrete source content; do not mandate each local synonym.	style-guide.md	active
2026-09-10	1309	PHRASE	P75 restores deferential elder acknowledgment rather than evaluating perceptiveness. P59 favors clearly countable gifted people; talent/talents remain contextual. P57 karma is an existing lowercase contextual variant.	phrase-memory.tsv	active
2026-09-10	1309	TERM	Owner retains Miluo Palace and living pillar; register the palace and 人桩 alias. Specific 五行大道 source forms retain Five Elements Dao without redundant Great Dao wording.	terminology.tsv	active
2026-09-10	1309	FIDELITY	Shared omissions: upright posture, reasoning link, sudden/immediate changes, quite reasonable, even several, reading, and minor cultivation problems. Review concrete source content even in unchanged English.	known-errors.md and workflow.md	active
2026-09-10	1309	FIDELITY	Owner shifts: P8 intolerance becomes impatience and a causal state becomes a two-part balance; P15 blending becomes apparent containment; P33 loses insufficiency; P40 weakens inevitability and adds an aura location. Alternatives reported.	decision-log.tsv	active
2026-09-10	1309	MECHANICAL	Owner P3 duplicates By now/now and removes modifier commas; P8 lowercases divine My. Normalize nonbreaking spaces in P38/74/75. Title/end omission is framing, not approval to remove them.	decision-log.tsv	active
2026-09-10	1309	LOCAL	P57 continuously/passing-through and P73 open interest are local wording, not rules for extra intensity or fleeting emotion. P74 trouble is natural; difficulty was grammatical. P38 full identification does not prohibit fragments.	decision-log.tsv	consolidated
2026-09-10	1309	CONTINUITY	Record Heavenly Dao rebuilding, creators pillar scheme, Saint recovery estimate and hundred-year decision, thirty Fruition Attainments, and Si Sui reading invitation. Distinguish forecasts and plans from achieved outcomes.	continuity.md and world-reference.md	active
2026-09-10	1309	PIPELINE	Fix two prior checker exceptions with narrow glossary matches for signing away life and Five Elements Dao forms. Tests preserve independent paired 性命 and generic 大道 enforcement. Rerun without temporary overrides.	terminology.tsv and tests/test_authorities.py	consolidated
2026-09-10	1309	STATE	Advance source/delivery through1309 and next_new_chapter1310; owner_revision_recorded retains unresolved source details; earlier gaps and most_recent_owner_final unchanged.	chapters/state.json and ledger.tsv	active
2026-09-10	1318	TERM	Publish missed explicit rulings: End Tiger, Final Kalpa, True Immortal; bare Cultivating Truth never gains Dao Lord. Jun and bracketed Origin/Primordial accepted from this owner revision; no claim the Saint is Jun.	terminology.tsv and entities.tsv	active
2026-09-10	1318	PHRASE	Owner P40 restores spirituality, consistent with Ch.1304 metaphysics. P44 a sliver of survival supersedes the longer default, without guaranteeing success. Reviewer attempts to restore the older preference rejected.	terminology.tsv and phrase-memory.tsv	superseded
2026-09-10	1318	MACRO	P9 joins action and aura; P38 measured parallel emphasis; P42 fated destruction reduces an abstraction; P52 direct attack-result syntax and somehow clarify the thought. Preserve causal links, plurality and source qualifications.	style-guide.md	active
2026-09-10	1318	LOCAL	P33 truly eternal and heaven and earth, P51 street thug, P60 has no memory, and P46 capitalized Immortal are contextual choices. Do not globally mandate these synonyms or capitalize every generic immortal.	decision-log.tsv	consolidated
2026-09-10	1318	FIDELITY	Owner P9 almost weakens genuinely felt heat: prefer actually. P45 awe belongs to expression, not voice, and finally is added. P46 retain even Us to preserve inclusion of Innate Dao Gods; historical treated is contextual.	known-errors.md and decision-log.tsv	superseded
2026-09-10	1318	FIDELITY	Owner P60 never expands time-specific disbelief; P62 being conceived changes gestation; P73 first transcender replaces the Transcendence event. P52 years narrows generic time. Prefer the source distinctions; do not globalize local wording.	phrase-memory.tsv and decision-log.tsv	superseded
2026-09-10	1318	MECHANICAL	P42 divine His and P46 Us need capitals; P43 remove escaped ellipsis backslash. Body-only title/author/end omission is framing, not authorization to delete those source paragraphs.	decision-log.tsv	active
2026-09-10	1318	CONTINUITY	Recover source mechanics through1318; archive1304-1309 intact. Attribute memory/Transcendence claims; distinguish awakened End Tiger from cosmic position and conscious Dragon projection from resurrection.	continuity.md and world-reference.md	active
2026-09-10	1318	PIPELINE	Approved term corrections were deferred with unapproved prose; equally stale state/ledger passed. Reconcile verified deliveries and rulings at turn entry; guard incoming chapter gaps. Progress does not imply prose approval.	workflow.md, state.py and prepare.py	consolidated
2026-09-10	1318	PIPELINE	Fix sentence-initial term case and title expansion; narrow descriptive exceptions for 神念, 盛时, 先天, 入道 and 变数. Regression checks retain real named occurrences without overrides.	common.py, lint.py, chat_check.py, terminology.tsv and tests	consolidated
2026-09-10	1318	STATE	Source/delivery1318, next_new1319; historical awaiting-translation1281 and most_recent_owner_final1304 retained.1310-1317 drafts not silently approved;1318 owner_revision_recorded pending source issues.	state.json and ledger.tsv	active
2026-09-10	1318	CONTINUITY	Historical consistency audit retains all358 prior hard-term renderings and every existing phrase/entity key. Archive old world/plot detail before consolidation; match each chapter against relevant authorities of all ages.	workflow.md and historical authorities	active
2026-09-10	1319	PHRASE	P13 faint traces replaces compulsory spider silk/hoofprints for a dormant investigative idiom. Preserve live images elsewhere; this is not a blanket instruction to discard Chinese allusions.	phrase-memory.tsv	active
2026-09-10	1319	MACRO	P4-6/16/30 prefer complete familiar clauses; P47 joins related reasoning and uses support it with. P72 names the recipient and puts the count beside the action. Preserve source details and natural cadence.	style-guide.md	active
2026-09-10	1319	LOCAL	P10 omen, P28 position, and P56 Variables turning in His favor are contextual. They do not rename status or impose one synonym globally. P72 retains the three crown taps and balanced force.	decision-log.tsv	consolidated
2026-09-10	1319	FIDELITY	P4 drops upright posture. P21 truly moves from perception to connection. P49 foundation obscures construction material versus P47 metaphysical foundation. Preserve these source distinctions.	decision-log.tsv	superseded
2026-09-10	1319	MECHANICAL	P5 divine You and P16 Their need capitals; normalize P16 nonbreaking spaces. P49 Source Jade is inconsistent with two other occurrences and Ch1308: retain lowercase source jade.	terminology.tsv and decision-log.tsv	active
2026-09-10	1319	CONTINUITY	Record failed Fate investigation, hundred-year deadline, Palace then Detached Court then Underworld plan, three-Lord attack risk, and accelerated teaching. Plans are not achievements.	continuity.md	active
2026-09-10	1319	STATE	Record delivered1319 and owner revision, next new1320. Keep earlier approval gaps. Reuse verified unchanged authorities and finish approved update before drafting the supplied next chapter.	state.json and ledger.tsv	consolidated
2026-09-10	1320	PHRASE	Owner corrects title to The Great Dao Answers to Me. Apply the authority/conformity sense to the recurring formulation; do not globally replace ordinary respond.	phrase-memory.tsv	active
2026-09-10	1320	MECHANICAL	Source 要了他性命 means take his life, not paired nature and life. Add a narrow lexical exception; preserve enforcement for independent paired occurrences.	terminology.tsv	active
2026-09-10	1320	CONTINUITY	Record the three tap meanings, knowledge-transfer combat, matched-status teaching restriction and Dharma Body Dao lifespan revelation. Reconcile source/delivery metadata; full prose remains unapproved.	continuity.md and state.json	active
2026-09-10	1321	MACRO	P14/59/78 prefer active Dao-shaping and teaching verbs, explicit logical links and natural information placement. Keep praise limited to Dao construction and name Lü Yang where His grasp could refer to Si Sui.	style-guide.md	active
2026-09-10	1321	PHRASE	P8 preserves a thin paper barrier without window specificity; P61-62 lock parallel daily gain/loss and Transcendence in loss. P54 links explanation and creator identification without broken syntax.	phrase-memory.tsv	active
2026-09-10	1321	LOCAL	P6 through the fog, P32 Done/take back, P34 Not yet, P58 fight and P74 faint sword light are valid contextual variants, not global replacement strings. P78 retains ten uninterrupted years and the return of calculation/cunning.	decision-log.tsv	consolidated
2026-09-10	1321	MACRO	Owner moves the third scene break from source70 to69, before Ten years passed; retain source paragraph order and place a time transition inside the new scene.	style-guide.md	active
2026-09-10	1321	FIDELITY	P2 束手 does not establish hands at sides. P14 praise concerns Dao construction, not all foundations. P59 keep understanding on course, not previously astray. P63 减 means reduce, not cast off. Shared P65 损毁 need not mean total destruction.	decision-log.tsv	superseded
2026-09-10	1321	MECHANICAL	P32 retain lowercase wisdom light. P79 use Have They come to pledge Their allegiance? in direct thought, not Had they. Normalize nonbreaking spaces. Body-only omission does not remove title/end.	terminology.tsv and style-guide.md	active
2026-09-10	1321	MECHANICAL	魂游天外 is mental absence, not Outer Heavens. Narrow matching exception with regression retains independent actual location occurrences.	terminology.tsv and tests/test_authorities.py	active
2026-09-10	1321	CONTINUITY	Record comprehension limits, inferred origin of status, loss/nonaction, ten years of training and approaching trio. Archive1310-1311 verbatim and replace stale positions; infer no approval or breakthrough.	continuity.md and state.json	active
2026-09-10	1322	MACRO	P8/35/42/48 improve visual order, explicit means, related premises and noun references; P52/61 separate stakes and complete the time/place phrase. Replace overlapping prose rules with noun-phrase and sentence-linkage checks.	style-guide.md and workflow.md	active
2026-09-10	1322	PHRASE	P52 wagered duel and P64 instruction and example are source-grounded recurring contextual renderings. Neither forces a replacement outside its relevant combat or teaching sense.	phrase-memory.tsv	active
2026-09-10	1322	LOCAL	P23 selective simple past after a flashback frame, P37 helpless/still, P55 reclaim, P63 completed departure and P71 agreed to it are contextual. Added possessives in P20/30 are not missing-article repairs.	decision-log.tsv	consolidated
2026-09-10	1322	FIDELITY	P20 retain negative emotions and direct delivery, not all emotion/evenly. P23 heavy losses need not be a crushing defeat. P32 preserve exceptional insight, increasingly complete cultivation and considerable relaxation.	decision-log.tsv	superseded
2026-09-10	1322	FIDELITY	P41 keep traversal of Time; P44 only the final step remains. P48 deeply is unstated. P63 retain now: the thirty-percent estimate concerns current strength. P49 seemed adds uncertainty; do not invent Vast Sky's motive.	decision-log.tsv	superseded
2026-09-10	1322	MECHANICAL	P20 Our and P30 Their require divine capitals; normalize nonbreaking spaces. Ordinary lives in 众生的性命 must not trigger nature and life; narrow exception retains independent paired-concept enforcement.	terminology.tsv and tests/test_authorities.py	active
2026-09-10	1322	CONTINUITY	Record confirmed allegiance, the barrier, disclosed End Tiger threat, conditional stakes, three-day duel and current thirty-percent estimate. No completed oath ritual, transfer, restored status or victory is inferred.	continuity.md	active
2026-09-10	1322	STATE	Source/delivery1322 and owner revision recorded, next new1323. Fifteen changed and fifty-five unchanged body paragraphs checked; historical approval gaps retained. No whole-prose approval inferred.	state.json and ledger.tsv	active
2026-09-10	1324	MECHANICAL	Descriptive 重重光色 means layers of radiance, not Chongguang. Extend the existing narrow exception and regression while retaining genuine name detection; no chapter prose or draft term is promoted.	terminology.tsv and tests/test_authorities.py	active
2026-09-10	1326	TERM	Record Gate of Feeling, Tribulation of Feeling, Heavenly/Human Tribulation, Supreme Wisdom Must Bring Harm and Sword Seed. Retain Love Too Deep Shortens Life and Dual Cultivation Prodigy; supersede conflicting draft labels.	terminology.tsv	active
2026-09-10	1326	MACRO	P5/15/18/44 favor connected action, motion and consequences. P12/55 broaden feelings beyond romance; P31 clarifies the differing principle. Replace overlapping style rules; do not make local synonyms universal.	style-guide.md and workflow.md	active
2026-09-10	1326	LOCAL	P7/9 cold, gazed, melted away and explicit eye reference; P10 great versus vast; P12 endure, years, ties and take another step; P15 unfolded/coil; P18 soothing movement; P44 result versus fruit improve local cadence.	decision-log.tsv	consolidated
2026-09-10	1326	LOCAL	P56 together with clarifies coordination and severing/drawing separates effects. P61 drain me dry is natural. P69 completes the reaction. Preserve grammar and source scope rather than copying every revised clause.	decision-log.tsv	consolidated
2026-09-10	1326	FIDELITY	P56 from them narrows all knowledge without explicit source support; prefer all the knowledge he had acquired. P61 restore coming to my senses as trigger, inevitable draining and wither and die as endpoint.	decision-log.tsv	superseded
2026-09-10	1326	FIDELITY	P9 it has no clear beloved antecedent; prefer gazed as though at the companion She loved most deeply. P13 亦是 adds, not contrasts. P15 winding through Mysteries adds staging; keep wearing away the stated effect.	decision-log.tsv	superseded
2026-09-10	1326	FIDELITY	Shared omissions: P34 at his disposal weakens active use of borrowed wisdom light; P41 retain looking at severed threads. P31 distinguish resonance in aura/Mystery domains from resonance between the two categories.	decision-log.tsv	superseded
2026-09-10	1326	MECHANICAL	P5 needs and before slammed; P57 needs a period. Normalize nonbreaking spaces; keep final reaction and Sword Seed dialogue as separate source paragraphs. Body-only paste does not remove title/end; no scene break needed.	style-guide.md and ledger.tsv	active
2026-09-10	1326	MECHANICAL	中古 inside 心中古怪 is not the Medieval Antiquity Era. Narrow glossary exception and regression preserve independent real-era matching; ordinary checker rerun required without overrides.	terminology.tsv and tests/test_authorities.py	active
2026-09-10	1326	FACT	Preserve induced voluntary transfer, awakening-triggered internal backlash and the status-evasion limit. Record conditional oath and continuing duel, with no winner or sacrifice inferred; older detail archived verbatim.	world-reference.md and continuity.md	active
2026-09-10	1326	STATE	Verified Chapter1326 delivery and owner revision: 69 source body paragraphs, 20 changed and 49 unchanged after final merge alignment. Next new1327; earlier approval gaps and owner-final1304 remain unchanged.	state.json and ledger.tsv	active
2026-09-10	1326	MACRO	Owner requests why each sentence changed, not just what. Record the problem, intended improvement and source support before classifying; label inferred motives as inference.	workflow.md	active
2026-09-10	1326	MECHANICAL	P7 power was boundless preserves 无穷伟力; accept this owner sentence construction alongside boundless power instead of forcing adjective order to satisfy the scanner.	terminology.tsv	active
2026-09-10	1329	TERM	P4 inferred reason: Treasure lock identifies a cultivation artifact more naturally than precious lock, which can describe mere value; local rendering of 宝锁.	terminology.tsv and phrase-memory.tsv	active
2026-09-10	1329	TERM	P12 inferred reason: Dao Companions capitalization treats 道侣 as an established cultivation relationship.	terminology.tsv and phrase-memory.tsv	active
2026-09-10	1329	TERM	P13 inferred reason: Same capitalization repeated consistently for the relationship.	terminology.tsv and phrase-memory.tsv	active
2026-09-10	1329	LOCAL	P19 inferred reason: Scheme better conveys the Saint's covert manipulation than the neutral plan; contextual choice, not a global replacement.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P27 inferred reason: Every one of them clarifies the antecedent; each twice as severe specifies severity rather than injury count. Even and suddenly connect the second reversal.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P27 continued: Effortless to wield improves the collocation. Scalding burden naturalizes a dormant hot-potato idiom. Final pain wording needs experiencer rather than making radiance burn through anatomically.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P29 inferred reason: Along with it clarifies simultaneous dissolution; transforming attaches the result; flooded and spreading join the expanding radiance into one image.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	TERM	P31 inferred reason: Combining regathering with but this time smooths the contrast; condensed makes cloud-to-sword transformation concrete. Countless and just over are local equivalents.	terminology.tsv and phrase-memory.tsv	active
2026-09-10	1329	TERM	P31 continued: Azure improves the sword color register, not a universal translation of 青.	terminology.tsv and phrase-memory.tsv	active
2026-09-10	1329	LOCAL	P39 inferred reason: Hung suspended and cut down on the spot give clearer position and urgency; forcibly suppressed them clarifies emotional control. Trembling adds visible motion absent from source and should be removed.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P40 inferred reason: Joining position to refusal to waste the opening makes motivation clear. Closed the distance, formed, cast gives complete parallel verbs; pointed straight supplies a clear target.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P40 continued: Preserve source timing and leaping-dragon image.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P47 inferred reason: Less statistical wording appears intended to improve voice, but twenty percent better odds is numerically ambiguous. Preserve the twenty-percentage-point increase from 30 to 50.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P51 inferred reason: Forward clarifies counterattack. No longer relying on threads alone contrasts the new combined attack. Locking death into place concretizes the future narrowing.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P51 continued: Merged must not imply fusion beyond source overlap; Fate capitalized in this actual Dao attack.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P58 inferred reason: Lü Yang of the past avoids interpreting old as age. Equal cultivation, greater scale, inability to resist, and death become a clear escalating counterfactual. Mighty power retains terminology.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P58 continued: Some advantage preserves 一定.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P60 inferred reason: Moves comparison frame to the start and makes far behind directly describe attainment. Path fits cultivation context; local choice rather than mandatory pursuit replacement.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P61 inferred reason: Far from easy is more direct and emphatic than wasn't so easy; genuine cost is supported by following explanation.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P63 inferred reason: Instead connects the missing attainment to the substitute mechanism. Forged connection and weaving suit the existing threads image; stronger causal linkage.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P63 continued: The result could unleash is an abstract agent and can be clearer; preserve source brief brilliance as well as power.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	LOCAL	P67 inferred reason: A moment and this duel sharpen time and reference; chance already gone clarifies the missed opportunity. Hope is broader than 一线生机 and should remain survival in this causal mechanism. Remove stray space before comma.	style-guide.md and decision-log.tsv	superseded
2026-09-10	1329	LOCAL	P69 inferred reason: Its light specifies what illuminates the surroundings; brief makes fleeting perception explicit. Void for 界空 blurs the bounded domain versus surrounding Fathomless Void; retain domain.	style-guide.md and decision-log.tsv	consolidated
2026-09-10	1329	MACRO	Favor concrete, connected action and explicit cause/contrast. Identify the actor rather than making an abstract result unleash power. Improvements concern relations and collocations, not greater length or ornament.	style-guide.md	active
2026-09-10	1329	FIDELITY	P27 retain ongoing increase in injury severity and felt pain; P39 remove invented trembling; P47 preserve twenty percentage points; P51 overlap not fusion; P58 retain bounded advantage and instant death;	decision-log.tsv	superseded
2026-09-10	1329	FIDELITY	P27 continued: P63 brief brilliance; P67 survival not generic hope; P69 domain distinct from surrounding void. Alternatives presented, not silently promoted as owner wording.	decision-log.tsv	superseded
2026-09-10	1329	REVIEW	Reject detector proposals to restore lowercase companions or blue-green solely from the draft, replace approved sliver of survival, or force every dormant idiom literal.	decision-log.tsv	superseded
2026-09-10	1329	REVIEW	Continued: New verified owner rulings outrank draft choices; source and genuine older authority remain decisive.	decision-log.tsv	active
2026-09-10	1329	MECHANICAL	Remove the stray space before the comma in P67; body-only owner text does not delete title/end.	terminology.tsv and tests/test_authorities.py	active
2026-09-10	1329	MECHANICAL	Continued: Fix prior lexical false positives for ordinary life/cultivation and an added ordinary variable with narrow glossary exceptions; keep independent real terms checked.	terminology.tsv and tests/test_authorities.py	active
2026-09-10	1329	CONTINUITY	Record verified Chapters1327-1329 mechanics and ongoing duel; archive older material verbatim. Preserve the Saint's restricted view, both-side preparations, temporary imitation and no resolved winner.	world-reference.md and continuity.md	active
2026-09-10	1329	STATE	Chapter1329 delivered and owner revision received; next new1330. Final approval stays1304 and historical gap1281 unchanged. No chapter prose committed.	state.json and ledger.tsv	active
2026-09-10	1329	PHRASE	Move 炸鱼 to contextual phrase memory, retaining owner-approved smurf/smurfing. It is gaming slang, not a named ability or mandatory literal fishing translation. Keep hard terms reserved for stable concepts.	phrase-memory.tsv	active
2026-09-10	1329	PIPELINE	Replace conflicting scheduling with one verified-session load, relevant historical retrieval, one draft, one bounded bilingual review including English, one targeted patch and mechanical check, then complete chat delivery.	instructions/workflow.md	active
2026-09-10	1329	PIPELINE	Remove turn-entry publication gates, metadata-only handoffs, repeated whole-chapter reviews/polling and separate English detector. Existing fidelity detector covers both source and English; preserve all coverage.	instructions/qa-rules.md	active
2026-09-10	1329	PIPELINE	Explicit corrections authorize a source-checked atomic feedback update. Preserve each changed sentence's reason in comparison; promote only reusable lessons. Existing local decisions remain historical, not sentence templates.	instructions/editing-spec.md	active
2026-09-10	1329	PIPELINE	Keep numeric/term limits and document-size thresholds as advisory signals, not correctness failures that force unrelated rewrites. Structural conflicts, invalid records and real chapter defects still fail.	scripts/audit.py	active
2026-09-10	1329	PIPELINE	Prepare output includes relevant usage/entity notes and previously missed measures/odds. Verified session source frontier may be supplied read-only between approved updates; unknown gaps still fail.	scripts/prepare.py	active
2026-09-10	1329	PIPELINE	Verified local scripts took under one second combined. No end-to-end timing record proves model slowdown; repeated work is observed, its precise time contribution is not. No additional agent or pipeline added.	reference/consolidation-history.md	active
2026-09-11	1332	TERM	Adopt supreme detachment for 太上忘情 in both Ch.1332 uses; record explicit sword of wisdom for 慧剑. Preserve lowercase descriptive state and the separately named Eight Negations Wisdom Sword.	terminology.tsv	active
2026-09-11	1332	TERM	Owner lowercases dharma body for Vast Sky's embodied form. Retain Dharma Body for the named cultivation foundation; this contextual ruling does not lowercase Dharma Body Dao.	terminology.tsv	active
2026-09-11	1332	PHRASE	Accept kick someone while they are down for figurative 落井下石. Preserve established pronouns; this is a contextual idiom, not a literal kick or a ban on developed Chinese imagery.	phrase-memory.tsv	active
2026-09-11	1332	MACRO	Edits favor connected escalation, clearer causal scope and idiomatic action; fuller setups can lead into compressed verdicts. Amend the existing length-by-meaning rule; do not impose one sentence length or synonym list.	style-guide.md	active
2026-09-11	1332	LOCAL	Body3/8/15/19: mist visualizes atmospheric 气; as well/path smooth cadence; openly/within and moved in a sense clarify presentation; only because focuses cause; naming the connection avoids vague it. Intent inferred.	decision-log.tsv	consolidated
2026-09-11	1332	LOCAL	Body30/31/41/48/60: merge escalation; natural kick idiom; organize recalled material then its emotional effect; stronger engulfment and concise shattering; join Good, very good and use Then for consequence. Intent inferred.	decision-log.tsv	consolidated
2026-09-11	1332	FIDELITY	Body33 crippled adds disablement to 两败俱伤; retain both sides badly wounded. Body48 toward destruction weakens 引入破灭; use to destruction. Alternatives are source-grounded, not inferred owner approval.	decision-log.tsv	superseded
2026-09-11	1332	MECHANICAL	Body30 comma splice and four lowered divine pronouns in30/31/60 are mechanical repairs, not new preferences. Normalize four nonbreaking spaces. Body-only paste retains title/end; all67 body paragraphs and five breaks align.	style-guide.md and ledger.tsv	active
2026-09-11	1332	FACT	Record Ch.1332 actual injuries, conditional failed retaliation/repair plan, mutual restraint and the merger revelation. Update the two entity notes without erasing earlier scene identities or inventing the dual-path mechanism.	entities.tsv and continuity.md and world-reference.md	active
2026-09-11	1332	STATE	Ch.1332 source/delivery and owner revision recorded; next new1333, owner-final1304 and translation gap1281 unchanged. Preserve the owner's1331 handoff separately from unretrieved1330-1331 source/delivery text.	state.json and ledger.tsv	active
2026-09-11	1333	LOCAL	Body5/11/14/16/21: wretched tempers narrator profanity; clarify Spirit ownership; prefer direct alter/created all on Your own and emphatic truly. These are contextual choices, not universal replacements. Intent inferred.	decision-log.tsv	consolidated
2026-09-11	1333	LOCAL	Body26/37/39/42/44: emotion and causal similarity read naturally; clearer dignity wording, waste Her breath, came to a halt and hollow boom favor idiomatic narration. Keep source degree and divine capitals. Intent inferred.	decision-log.tsv	consolidated
2026-09-11	1333	LOCAL	Body47/52/55/70: spell out this round duration; split absence from future proof; clear domain ownership and a passing-hand clause; merged form and seeking the Dao without scare quotes. Reaffirm existing prose rules. Intent inferred.	style-guide.md and decision-log.tsv	consolidated
2026-09-11	1333	LOCAL	Body61 uses status as a Dao Lord for restored standing; Body64 retains Dao Lord cultivation. Preserve the future restoration separately from the already increased status in the merger; no global status/cultivation synonym.	world-reference.md	active
2026-09-11	1333	FIDELITY	Body14 one and the same overstates 形同一人: use somehow as one. Body26 retain 长存 with remains forever. Body64 no longer invents prior alliance: use might not. Source-supported repairs, not assumed owner approval.	decision-log.tsv	superseded
2026-09-11	1333	MECHANICAL	Body39 needs Her breath; normalize the final nonbreaking space. Source39 换不来性命 means ordinary life: add a narrow exception and extend the paired-term preservation regression. Title/end remain part of the source framing.	terminology.tsv and tests/test_authorities.py	active
2026-09-11	1333	FACT	Ch.1333 corrects the apparent identity: two people share a name after modified arts and supreme detachment. Record the merger, death, Fate damage and conditional mortal effects; Dao Lord restoration remains future.	entities.tsv and world-reference.md and continuity.md	active
2026-09-11	1333	STATE	Source and delivery now1333; owner revision recorded, next new1334. Owner-final1304 and old translation gaps remain. Archive older detail verbatim; combine pending1332 feedback and1333 maintenance in one published commit.	state.json and ledger.tsv	active
2026-09-11	1334	LOCAL	Source P7/11/19/26/44: lesser, direct tactical verbs, mend and raised him favor plainer phrasing and concrete relations. Existing macro rules cover these; no universal synonym changes. Intent inferred.	style-guide.md	consolidated
