source	target	notes
降维打击	dimensional suppression	owner-final Ch.1254 contextual rendering; preserve the gaming/meta register when paired with 炸鱼; provenance owner-rulings-ch1254.tsv
释天意	Shi Tianyi	owner-final Ch.1255 personal name of the World-Honored One / first-generation Myriad Treasures Peak Lord in this scene; provenance owner-rulings-ch1255.tsv
生死轮	Wheel of Life and Death	standalone call-out takes the definite article; provenance owner-rulings-ch1255.tsv
盛时	Time of Flourishing	owner-final Ch.1255 contextual rendering for Willow Wood cycle; provenance owner-rulings-ch1255.tsv; verified Ch.1310-1318 ordinary or cross-word contexts [except: 全盛时]
夭时	Time of Withering	owner-final Ch.1255 contextual rendering in the paired Willow Wood cycle; when referenced descriptively later, Untimely Death may be used if the source refers to the effect rather than the formal cycle label; provenance owner-rulings-ch1255.tsv
真实世界	real world	owner-final Ch.1257; use in contrast with the False History and illusory worlds; supersedes "true world" in this context; provenance owner-rulings-ch1257.tsv
苦海	Sea of Suffering	owner-final Ch.1257; supersedes "Sea of Bitterness"; provenance owner-rulings-ch1257.tsv
筑基境	Foundation Establishment Realm	owner-final Ch.1257; here it names an absent realm of existence, not the Foundation Establishment cultivation stage; provenance owner-rulings-ch1257.tsv
至性求仙经	Utmost Nature Immortal-Seeking Scripture	owner-final Ch.1258 and verified project-reference rendering; Beast-Taming's Primordial Spirit scripture; provenance owner-rulings-ch1258.tsv
海外真龙	Overseas True Dragons	owner-final Ch.1258; capitalize as the named group; provenance owner-rulings-ch1258.tsv
大乘正觉根本经	Mahayana True Enlightenment Scripture	owner-final Ch.1260; the scripture the World-Honored One promoted while founding the Pure Land; provenance owner-rulings-ch1260.tsv; Sutra rows in Reference_Italicized_Titles.md are historical; Scripture is current (owner 2026-09-24)
本尊	This Venerable	owner-final Ch.1260 self-reference used by the World-Honored One; provenance owner-rulings-ch1260.tsv
【时光】	Time	owner-final Ch.1260; the named Dao through which the Primordial Saint originally proved the Dao, distinct from ordinary elapsed time; provenance owner-rulings-ch1260.tsv
时光长河	River of Time	owner-final Ch.1260; the former shape of the Primordial Saint's Dao foundation; provenance owner-rulings-ch1260.tsv
太一兽	Taiyi Beast	owner-final Ch.1260; Sublime Bliss's Taiyi true body, raised by Myriad Spells; provenance owner-rulings-ch1260.tsv
金行	Metal Element	owner-final Ch.1261 elemental rendering; provenance owner-rulings-ch1261.tsv
木行	Wood Element	owner-final Ch.1261 elemental rendering; provenance owner-rulings-ch1261.tsv
土行	Earth Element	owner-final Ch.1261 elemental rendering; provenance owner-rulings-ch1261.tsv
道无疆	Boundless Dao	owner-final Ch.1261 Mystery of Great Post Earth; provenance owner-rulings-ch1261.tsv
大驿土	Great Post Earth	owner-final Ch.1261 Fruition Attainment rendering; provenance owner-rulings-ch1261.tsv
初代丹鼎峰主	First-Generation Alchemy Cauldron Peak Lord	standalone call-out takes the definite article; provenance owner-rulings-ch1261.tsv
紫青兜率真火	Purple-Azure Tushita Fire	owner-final Ch.1262; established alchemical flame surrounding the mountain range and pill furnace; provenance owner-rulings-ch1262.tsv
幽冥府君殿	Underworld Sovereign's Hall	owner-final Ch.1262; established core of the Underworld; provenance owner-rulings-ch1262.tsv
天外	Outer Heavens	owner-final Ch.1262 location phrase; capitalize both words; provenance owner-rulings-ch1262.tsv; excludes the mental-absence idiom [except: 魂游天外]
太易天	Tai Yitian	the Primordial Saint's altered name, not his original true name; owner-final Ch.1283 supersedes the earlier Ch.1262 assumption; provenance owner-rulings-ch1262.tsv and Ch.1283. Ch.1395 reveals this was also the Supreme Source Immortal's preferred name. Their relationship and suspected possession remain separate from identity.
冥府之主	Lord of the Underworld	owner-final Ch.1262 title for Dao Tianqi in this scene; provenance owner-rulings-ch1262.tsv
光海暗面	Dark Side of the Sea of Light	owner-final Ch.1263 capitalization; supersedes lowercase use in running cosmological reference; provenance owner-rulings-ch1263.tsv
天府	Celestial Court	owner-final Ch.1264; major Boundary Heaven listed beside the Immortal Pivot, Star Palace, and Mysterious Wall; provenance owner-rulings-ch1264.tsv
星宫	Star Palace	owner-final Ch.1264; established major Boundary Heaven; provenance owner-rulings-ch1264.tsv
玄垣	Mysterious Wall	owner-final Ch.1264; established major Boundary Heaven; provenance owner-rulings-ch1264.tsv
夺淮之变	Usurpation of the Huai	owner-final Ch.1264; established False History imagery used by the Ancestral Dragon; provenance owner-rulings-ch1264.tsv
润下	Flowing Downward	owner-final Ch.1264; Flying Snow's Empty Attainment; provenance owner-rulings-ch1264.tsv
下修	lesser cultivator	owner-final Ch.1264 in the Primordial Saint's private question; provenance owner-rulings-ch1264.tsv
凌霄宝殿	Palace of Soaring Clouds	owner-final Ch.1265; the central hall reached by the white jade steps within the Heavenly Palace; provenance owner-rulings-ch1265.tsv
天帝	Heavenly Emperor	owner-final Ch.1265; Lü Yang's separated consciousness within the Heavenly Palace; this resolves the prior provisional rendering; provenance owner-rulings-ch1265.tsv
气数	Fortune	owner-final Ch.1265; one of the Five Heavenly Numbers, distinct from 命数 = Fate and 定数 = Destiny; provenance owner-rulings-ch1265.tsv
阴之大道	Great Dao of Yin	owner-final Ch.1265; Bu Tianque's power helps Flying Snow escape beneath the Primordial Saint's gaze; provenance owner-rulings-ch1265.tsv
七情参天诀	Seven Emotions Heaven-Fathoming Art	owner-final Ch.1266; the Primordial Saint's method of awakening and then casting aside the seven emotions; provenance owner-rulings-ch1266.tsv
彩色天赋	Prismatic Talent	owner-final Ch.1267 system-panel category; supersedes the provisional Colored Talent; provenance owner-rulings-ch1267.tsv
本真	true nature	owner-final Ch.1267 contextual rendering for the Primordial Saint's last authentic fragment; distinct from 真我 = True Self; provenance owner-rulings-ch1267.tsv
佛法	Buddhist Dharma	owner-final Ch.1268 capitalization in reference to the World-Honored One's teaching; provenance owner-rulings-ch1268.tsv
人财	human capital	owner-final Ch.1268; deliberate modern economic wording in the gods' view of prosperous worshippers; provenance owner-rulings-ch1268.tsv
天命	Mandate of Heaven	owner-final Ch.1268 formal proclamation rendering; provenance owner-rulings-ch1268.tsv
神道	Divine Dao	owner-final Ch.1268 formal proclamation rendering; provenance owner-rulings-ch1268.tsv
天神地祇	gods of heaven and earth	owner-final Ch.1268 formal proclamation rendering; provenance owner-rulings-ch1268.tsv
至高道化	Supreme Dao Transformation	owner-final Ch.1269 talent; standalone activation is "Supreme Dao Transformation, activate!"; provenance owner-rulings-ch1269.tsv
善恶元神法	good-and-evil Primordial Spirit method	owner-final Ch.1269; one consciousness becomes dominant rather than destroying the other; provenance owner-rulings-ch1269.tsv
两仪生灭玄光	Yin-Yang Creation and Destruction Profound Light	owner-final Ch.1270; explicit owner correction, superseding the provisional Two Modes rendering; provenance owner-rulings-ch1270.tsv
至法持元真君	True Monarch Supreme Dharma	owner-final Ch.1270; supersedes the provisional True Monarch Ultimate Dharma Sustaining Origin; provenance owner-rulings-ch1270.tsv
真龙	True Dragon	owner-final Ch.1272; capitalize as the recognized xianxia being or status, including a True Dragon in human form; provenance owner-rulings-ch1272.tsv
仙历	Immortal Calendar	owner-final Ch.1272; the approved date construction is "the first month of the 264th year of the Immortal Calendar"; provenance owner-rulings-ch1272.tsv
耗材	consumable materials	owner-final Ch.1272; preserve the Ancestral Dragon's deliberately cold, utilitarian register; provenance owner-rulings-ch1272.tsv
幽冥气	the aura of the Underworld	owner-final Ch.1275; use the established realm name instead of the draft's netherworld-qi phrasing; provenance owner-rulings-ch1275.tsv
天生道神	Innate Dao God	owner-final Ch.1275; the Ancestral Dragon's nature, contrasted with Dao Lords who attained their status through cultivation; provenance owner-rulings-ch1275.tsv
后天返先天	turn from Postnatal back to Innate	owner-final Ch.1276; capitalize Postnatal and Innate as technical cultivation states; provenance owner-rulings-ch1276.tsv
后天	Postnatal	owner-final Ch.1276; capitalized technical cultivation state when contrasted with Innate; provenance owner-rulings-ch1276.tsv
先天	Innate	owner-final Ch.1276; capitalized technical cultivation state when contrasted with Postnatal; provenance owner-rulings-ch1276.tsv; verified Ch.1310-1318 ordinary or cross-word contexts [except: 先天就|先天资质]
成道	prove the Dao	owner-final Ch.1278 default for the completed cultivation achievement; use "attain the Dao" only where an established construction or place of attainment requires it. In 成道主, 成 means become and 道主 is Dao Lord; do not impose prove the Dao on this compound [except: 成道隐玄府|成道地|成道之地|成道主]; provenance owner-rulings-ch1278.tsv and Ch.1299 source check
重光	Chongguang	Saint Sect Acting Sect Master; ordinary pronouns; do not match inside descriptive 重重光彩, 重重光景 or 重重光色 [except: 重重光彩|重重光景|重重光色]; provenance owner-final Ch.1268 and Ch.1291-1293 source review
三根基	Three Foundations	Spiritual Power, Spells, and Dharma Body; capitalized named triad; provenance Ch.1276-1279
六龙君	six Dragon Monarchs	normally takes "the"; lowercase six except at sentence start; provenance Ch.1268 onward
无缺元神	flawless Primordial Spirit	technical completed state; lowercase modifier; provenance Ch.1270
半步道君	half-step Dao Lord	Sanhe's cultivation status; provenance owner-final Ch.1270
天生三灵	three innate spirits	Sanhe's congenital three-spirit condition; provenance Ch.1270 onward
道途	Dao Path	capitalized cultivation path; provenance Ch.1273 onward
因果	Karma|karma|karmic|cause and effect|causality	Capitalize the named Great Dao. Prefer karma for the world's metaphysical causal fabric, including erasure from karma and history (owner Ch.1346); cause and effect/causality remain contextual options for ordinary relations and reasoning. Do not rename every causal reference.
造化	Creation|creation	capitalize the named cosmological authority; lowercase ordinary creation; provenance Ch.1268 onward
光铸的双手	hands forged from light	explicit owner correction after Ch.1277; never light-forged hands
都玄	Du Xuan	Spiritual Power Dao Lord; ordinary pronouns he/him/his; provenance consolidation
前古	Ancient Past	fixed era label before the Primordial Era; normally takes the definite article; owner-final Ch.1283
太古	Primordial Era	fixed era label after the Ancient Past and before the Ancient Era; normally takes the definite article; owner-final Ch.1283
上古	Ancient Era	fixed era label beginning when Si Sui proved the Dao; normally takes the definite article; owner-final Ch.1283
中古	Medieval Antiquity Era	fixed era label for the 129,600-year age of Dao Lords; normally takes the definite article; owner-final Ch.1283 [except: 心中古怪] (Ch.1326 means feeling something strange, not an era)
名教	Doctrine of Names	Ancient Past Dao Lineage concerning the power of names; normally takes the definite article; owner-final Ch.1283
尊名	honorific name	an added protective name under the Doctrine of Names; owner-final Ch.1283
爆丹	exploding pill	split from malformed combined source; provenance consolidation
爆炸丹	exploding pill	split from malformed combined source; provenance consolidation
道庭	Dao Court	Vast Sky's institution; provenance owner-final Ch.1282
箓文	seal-script character	individual written glyph; pluralize normally; never use the writing-system noun "seal scripts" for countable characters; provenance owner-final Ch.1282
符箓之法	talisman arts	Vast Sky's name- and writing-based method; provenance owner-final Ch.1282
心剑	heart sword	Heaven-Slayer's actual nature after Sanhe's Primordial Spirit sacrifice; lowercase as a descriptive type; provenance owner-final Ch.1282
文字	Written Word|written language|writing	use the Written Word for Vast Sky's bracketed Dao concept and written language for ordinary script; provenance owner-final Ch.1282
法仪	ritual	A deliberately established ritual supporting the Primordial Saint's altered true name; do not expand to ritual array without source evidence; owner-final Ch.1284
三世身	three life bodies	Linked past, present, and future bodies; the World-Honored One's method is also used by the Primordial Saint in Ch.1292. Explicit owner correction after Ch.1285 replaces three temporal bodies; resolve whose body is meant.
煌世兑光真君	True Monarch Radiant World Western Light	The World-Honored One's present life body; restored from owner-final Ch.1246 during the Ch.1285 authority check
劫数	Tribulation	Capitalize as the named Great Dao; restored from owner-final Ch.1263 and phrase memory during the Ch.1286 authority check
称心锁神决	Heart-Naming Spirit-Locking Art	Ancient Past Doctrine of Names method received by Lü Yang from Vast Sky; explicit owner correction after Ch.1287
相教	Doctrine of Appearances	Ancient Past Dao Lineage used to alter outward appearance and bearing; owner-final Ch.1288
性命	nature and life	Paired Daoist cultivation concept; preserve both halves. Ordinary idioms mean life: endangering, producing, or signing away life [except: 危及性命|危及他性命|诞生性命|签下性命|要了他性命|众生的性命|性命修为|换不来性命|性命威胁]. Ch.1288, Ch.1303-1309 and Ch.1346 P20 source checks; independent paired occurrences remain enforced.
神通	divine ability|divine abilities|Divine Abilities	Explicit owner correction in Ch.1290; never Divine Powers; lowercase generic use; Title Case in a chapter title or established name. The more specific category 大神通 is Great Divine Ability/Abilities under the Ch.1346 owner correction.
转世生死轮	Reincarnation Wheel of Life and Death	Dao Tianqi's ink-black wheel, the Underworld's eighth component; normally takes the definite article; owner-final Ch.1290
法灭尽经	Dharma Extinction Scripture	Myriad Spells' Mystery derived from the deficiency in the Three Foundations; normally takes the definite article; owner-final Ch.1290
道器	Dao Artifact	Capitalize this artifact class; owner-final Ch.1290
血气	blood qi	Lowercase substance, not necessarily liquid blood; owner-final Ch.1290
深乐净土	Blissful Pure Land	Owner-final Ch.1292 replaces provisional Profound Bliss Pure Land; use the full title the World-Honored One of the Blissful Pure Land.
悟性	comprehension	Lowercase cultivation faculty; distinct from accumulated Dao Attainment and from talent. Owner-final Ch.1292 replaces insight here; do not apply to every word for understanding or realization.
天历数	Heavenly Calendar Numbers	Normally takes the definite article; owner-final Ch.1293 replaces provisional Heavenly Reckoning. Name of the singular core of the Heavenly Palace and five Mysteries; the pronoun it can refer to that core. Distinct from the Five Heavenly Numbers.
初一儿	Little Tianyi	Lü Yang's mocking nickname for the World-Honored One; retained in owner-final Ch.1293, confirming retrieved earlier owner evidence. Preserve his ordinary pronouns; do not reinterpret as a literal son or birth order.
炼法秘境	Dharma Refining Secret Realm	Normally takes the definite article; explicit owner correction Ch.1295 replaces provisional Spell-Refining Secret Realm. Keep Dharma Refining unhyphenated; this proper name does not make every 法 Dharma.
超脱	Transcendence|transcend|transcended|transcending|transcendent|transcender	Use capitalized Transcendence for the named Ancient Past achievement retained in owner-final Ch.1295, not itself a Great Dao. Ordinary verbal uses take lowercase transcend with the appropriate tense; Ch.1209's 超脱了一半 is had transcended halfway, not the named achievement. An unorthodox path to Transcendence may be described as a Great Dao. Owner Ch.1412: a Dao Lord completing it at a layer "attained Transcendence"; a plain verb stays lowercase (before he transcended).
太极	Taiji	Explicit owner correction after Ch.1298: use the familiar romanized name Taiji, not Supreme Ultimate. This is a specific terminology ruling, not permission to romanize all cosmological names.
太极道主	Taiji Dao Lord	Si Sui's title after relinquishing his Daos and transcending in Ch.1298; previous-life Ch. 1298 title; current-life status after the Ch. 1409 false Transcendence not yet established; explicit owner Taiji correction. Normally takes the definite article; retain his ordinary pronouns.
【环】	Ring	The named manifestation of the Fathomless Void as cradle in Ch.1302-1303; owner Ch.1303 retains Ring. Does not prescribe the ordinary noun 环.
元婴道身	Nascent Soul Dao Body	Owner Ch.1303 retains the Ch.1302 compound; distinct from the Dharma Body and Si Sui's transcendent true body.
炼丹道	Alchemy Dao	Named Dao; expands the already approved four-Dao phrase in Ch.1292. Distinct from a person, especially Senior Beast-Taming.
炼器道	Artifact Refinement Dao	Named Dao; expands the already approved four-Dao phrase in Ch.1292. Distinct from a person, especially Senior Beast-Taming.
双修道	Dual Cultivation Dao	Named Dao; expands the already approved four-Dao phrase in Ch.1292. Distinct from a person, especially Senior Beast-Taming.
豢妖道	Beast-Taming Dao	Named Dao; expands the already approved four-Dao phrase in Ch.1292. Distinct from a person, especially Senior Beast-Taming.
活桩	living pillar	Owner Ch.1307 replaces provisional living anchor for a living being sustaining the Heavenly Dao; not a global replacement for anchors.
五行道	Five Elements Dao	Owner Ch.1307; use the compact named-Dao form.
源玉	source jade	Owner Ch.1308 replaces provisional Origin Jade; lowercase material name except sentence-initial capitalization. Same material as Void Stone.
虚空石	Void Stone	Owner Ch.1308 retains this capitalized alternative name for source jade.
天荒	Heavenly Wilderness	Owner Ch.1308 retains the Nether Whisper Ancestor's name for the new world; normally takes the definite article.
鬼门关	Ghost Gate	Owner Ch.1308 retains the surviving Underworld gate; normally takes the definite article.
弥罗宫	Miluo Palace	Owner Ch.1309 retains the name of the palace at the summit of the Heavenly Palace, where Lü Yang sits on a Dao platform.
人桩	living pillar	Ch.1309 uses this for the same sacrificial support role as 活桩; owner retains living pillar. Preserve the coerced role.
五行大道	Five Elements Dao	Expanded Chinese form of 五行道; same canonical named Dao, not an additional generic Great Dao mention.
【五行】大道	Five Elements Dao	Bracketed source form of 五行大道; longest-match enforcement retains the complete named Dao without requiring redundant Great Dao wording.
修真	Cultivating Truth	Explicit owner correction before Ch.1315; same being and ordinary pronouns as 修真道主, but never expand the bare name into a title [reject expansion: Cultivating Truth Dao Lord]
终虎	End Tiger	Explicit owner correction during Ch.1316; replaces Final Tiger. Incarnated male Daoist in Ch.1317-1318; distinguish the awakened individual from the ultimate Innate Dao God position.
末劫	Final Kalpa	Explicit owner correction before Ch.1316; replaces Final Tribulation. Distinct from 劫数, Tribulation.
真仙人	True Immortal	Explicit owner capitalization correction before Ch.1317. Do not apply True to generic 仙人.
真仙	True Immortal	Same explicit capitalization ruling as 真仙人; longer compounds take precedence.
【均】	Jun	Proper name accepted in Ch.1318 owner revision. Bracketed source key avoids matching ordinary 均 meaning all/equal. The first transcender; not an alias of the Primordial Saint.
【起源】	Origin	Ch.1318 owner revision: the Ancestral Dragon embodies the Origin; retain the article in noun phrases.
【原初】	Primordial	Ch.1318 owner revision; imagery usurped by Tai Yitian. Keep distinct from the separately named Origin and Primordial Chaos.
灵性	spirituality	Owner Ch.1318 reaffirms Ch.1304 metaphysical wording. Awakened spiritual capacity, not religious devotion; do not silently replace it with spiritual awareness. Distinguish 性灵 and 慧光.
情深不寿	Love Too Deep Shortens Life	Owner Ch.1326 retains this name for the Sword Sovereign's Mystery; ordinary proverbial uses still need contextual interpretation.
慧极必伤	Supreme Wisdom Must Bring Harm	Explicit owner Ch.1326 replacement for draft Wisdom Too Keen Brings Harm; use in technique mentions and the chapter title.
情关	Gate of Feeling	Owner Ch.1326; feeling includes friendship, family and romantic attachment, not romance alone.
情劫	Tribulation of Feeling|Tribulations of Feeling	Owner Ch.1326; select singular/plural by grammar, retaining capitalization.
天劫	Heavenly Tribulation|Heavenly Tribulations	Owner Ch.1326; singular/plural by context, capitalized named tribulation category.
人劫	Human Tribulation|Human Tribulations	Owner Ch.1326; singular/plural by context, capitalized named tribulation category.
剑种	Sword Seed	Explicit owner Ch.1326 replaces bastard with a sword. Retain the terse sarcastic appraisal; do not add a rank, ancestry claim, profanity, or explanation to compensate for the Chinese homophone.
双修奇才	Dual Cultivation Prodigy	Owner Ch.1326 retains the named talent; this establishes current authority, not verification of an unavailable older attachment.
道侣	Dao Companion|Dao Companions	Owner Ch.1329 consistently capitalizes the cultivation relationship. Select number and article by syntax; do not imply romantic sincerity where the source describes exploitation.
太上忘情	supreme detachment	Owner Ch.1332 replaces the explanatory supreme state of forgetting all feeling. Use state of supreme detachment where syntax needs it. The state removes feelings as the threads' target; do not weaken its stated mechanics to mere composure.
慧剑	sword of wisdom|swords of wisdom	Explicit owner correction during Ch.1332, consistent with owner Ch.1326. Lowercase; singular/plural by source. Preserve the separately established full title Eight Negations Wisdom Sword.
秩序之光	Light of Order	Owner Ch.1339 consistently capitalizes the named light used for viewing and analyzing things as data. Normally takes the definite article; this is not a universal capitalization rule for ordinary order.
黜龙尺	Dragon-Demoting Ruler	Artifact name verified in the owner book reference, approved manuscript Ch.1000 onward, and Ch.1339 owner revision; normally takes the definite article, roman as a name.
情之一道	Dao of Feelings	Owner Ch.1341 capitalizes and pluralizes the named path in Nian Yao's record. Keep ordinary feeling(s), Gate of Feeling and Tribulation of Feeling under their existing contextual rulings.
化神传人	Divine Transformation Heir	Unique Talent; name and awakening announcement explicitly approved for Ch.1342. Roman name; access to Heavenly Person's Remnant Consciousness regardless of cultivation, not a granted cultivation realm. Ch.1392 dispels historical rejection on entry to the eighth realm; this is not ordinary access available to all Dao Lords.
逍遥游	Carefree Wandering	Named Heavenly Person's Remnant Consciousness realm, roman; approved manuscript Ch.898/1035/1094, verified during Ch.1342 preparation. Do not treat as a newly translated scripture title in this usage.
名性夺天法	Art of Seizing Heaven through Name and Nature	Named art, italic title; approved manuscript Ch.1313/1316, retrieved for Ch.1344. Its ritual is maintained in Grand Ancestral Master.
神禄天命书	Book of Divine Blessings and the Mandate of Heaven	Roman artifact name; fully approved manuscript Ch.1323/1325/1333/1336/1337, verified at Ch.1344. Supersedes older provisional labels and alternative memory renderings.
真元婴	true Nascent Soul	Lowercase descriptive true; approved manuscript Ch.1299-1338 and retained in Ch.1344 owner revision. Distinguish the Saint's changed nature from borrowed Other Shore status.
假超脱	false Transcendence	Lowercase descriptive false; approved manuscript Ch.1299/1302/1306 and retained in Ch.1344 owner revision. Si Sui's attainment remains distinct from true Transcendence.
玄德	Profound Virtue	Lü Yang's protective honorific title, explicitly approved Ch.1345; chosen using the Heart-Naming Spirit-Locking Art. His claimed origin outside the Sea of Light is a disguise, not confirmed ancestry.
道祖	Dao Ancestor	Established approved manuscript Ch.1280. Ch.1345 Lü Yang chooses this rank for his Dao-creating persona; it does not rename every Dao Lord.
玄德道祖	Dao Ancestor Profound Virtue	Explicit owner approval Ch.1345; Lü Yang's assumed full title, not a separate person.
秩序	Order|order	Order names Lü Yang's Great Dao in Ch.1346; ordinary order stays lowercase by context. Explicit approval before delivery; no display brackets for an inline name.
秩序大道	the Great Dao of Order	Approved Ch.1346 expanded Dao name. Also permits the source form 【秩序】大道 through the component entries; do not invent a different Dao.
称心锁神诀	Heart-Naming Spirit-Locking Art	Ch.1346 spelling variant of 称心锁神决, the same established named art; italic title.
尊号	honorific title	Explicit owner correction before Ch.1346: use the full phrase, not bare honorific. Distinct from the older 尊名 honorific name ruling.
道号	Dao title	Owner Ch.1346 P35 replaces Dao name; use for the chosen Daoist appellation, not a birth name.
师叔	Martial Uncle	Owner Ch.1346 P22/53 capitalizes a specific sect-relative title even after my. Claimed Martial Uncle Jun relationship does not establish real lineage.
大神通	Great Divine Ability|Great Divine Abilities	Owner Ch.1346 P6 capitalizes this cultivation category; supersedes the prior generic-case treatment of the full compound, not all 神通.
死循环	Infinite Loop	Explicit owner approval and retained Ch.1347 revision. The Primordial Saint's name for Lü Yang's closed Dao cycle; it freezes cultivation until reopened. Roman name, not an italic work.
鱼肠	Fish-Gut Sword	Owner approved before Ch.1348 delivery. Named item held by the World-Honored One's sacred image; roman artifact name. Do not infer an identification with an external mythic deity.
加持神杵	Blessed Divine Pestle	Owner approved before Ch.1348 delivery. Item held by the World-Honored One's sacred image; roman artifact name.
情丝	threads of affection	Lowercase; verified approved manuscript Ch.1326-1332, retrieved for Ch.1348. The Sword Sovereign's means of control; preserve context and inflect singular only when the source requires it.
卜仙	Divination Immortal	Explicit owner rendering for Ch.1354, retained in the owner revision. Title of the claimed Martial Uncle in Lü Yang's performed lineage; the conversation does not independently establish his biography or existence.
望乡台	Home Viewing Pavilion	Owner requests the existing term before Ch.1357. Approved manuscript Edited_Draft_PRONOUN-PASSES(1).docx lines73921/82462/85047 identify this Underworld structure and the Sword Sovereign's occupation. Roman place name.
应帝王	Responding to Emperors and Kings	Established remnant realm in the book reference; retained in owner Ch.1358. Roman place name in this usage, not an italic citation of the Zhuangzi chapter.
剧外观测者	Observer Outside the Play	Established Talent; Reference_Talents_and_Hundred_Lives.md records its Ch.985 description. Retained in owner Ch.1358. Roman name; an activation call-out is not automatically a system panel. Ch.1387-1391: its Script guides Cultivating Truth through motives he experiences as his own; remote observation does not imply physical pursuit.
浑沌	Hundun	Explicit owner correction in Ch.1358 P22, both occurrences within Responding to Emperors and Kings. Roman proper name without an article. Distinct from 混沌 = Primordial Chaos; do not infer additional entity mechanics.
修改	Modify	Owner approved before Ch.1359 and retained in the revision. Named Order operation that redefines external things; standalone **【Modify】**, inline roman. Ordinary modifying remains contextual.
四大鬼域	Four Ghost Domains	Established approved manuscript line73830, verified before Ch.1359 and retained by owner. Underworld structures; do not extend their concealment to the whole Underworld.
人间世	World of Mortals	Established realm, normally takes the; supplied book reference lines2994-3001 explicitly maps 人间世. Recovered for Ch.1360. Roman place name, not an ordinary mortal world.
养生主	Principles of Nurturing Life	Established remnant realm, normally takes the. Approved manuscript lines53440/55466 identifies the fragment/trial; recovered for Ch.1360. Roman place name.
德充符	Symbol of Virtue Fulfilled	Established remnant realm, normally takes the. Book reference7779-7785 explicitly maps 德充符; approved manuscript70526/70568 confirms name. Roman realm usage in Ch.1360.
林霄	Lin Xiao	Soaring Firmament's birth name; established book reference1993-1996 and retained in owner Ch.1361. Do not replace his established honorific title elsewhere.
帝弥陀	Di Mituo	World-Honored One alias established in book reference2515 and retained in owner Ch.1361; distinguish Di Muni and use the source identity.
守关者	Trial Guardian	Established lineage in book reference6554; owner Ch.1362 retains this name. Singular for its founder or an individual guardian; plural for the lineage. The reported death is superseded by Ch.1383: the founder and most of the lineage survived. Do not merge all guardians into one person. Ch.1395-1399 identifies the founder as reincarnated Immortal Recorder; Lü Yang saves his True Spirit and most disciples. Do not import this reveal into earlier viewpoints.
最初守关者	first Trial Guardian	Owner Ch.1400 twice chooses "the first Trial Guardian" for this descriptive expression, including the displayed book warning. Same individual as the founding Trial Guardian / Immortal Recorder; do not create a second person or retroactively rewrite approved earlier prose.
伏妖真人	Demon-Subduing True Person	Book reference838 explicitly maps this name, retained owner Ch.1362. Canonical 真人 is True Person. His pocket grandpa is the old guiding soul, not an established biological grandfather.
白蜡金	White Wax Metal	Established elemental Fruition Attainment: book reference table242 and heading3739, recovered before Ch.1364 and retained by owner. Not a new translation.
长流水	Long Flowing Water	Established elemental Fruition Attainment: book reference table248 and heading3295, recovered before Ch.1364 and retained by owner.
砂中土	Shifting Earth	Established book reference3620 explicitly maps this Fruition Attainment. Recovered before Ch.1364 and retained by owner; do not retranslate from its literal characters.
黄泉路	Yellow Springs Road	Established Underworld structure in approved manuscript Ch.937-938, paragraphs73779/73854. Recovered before Ch.1364 and retained by owner.
奈何桥	Bridge of Helplessness	Established Underworld structure in approved manuscript Ch.937-938, paragraphs73779/73854. Recovered before Ch.1364 and retained by owner.
三生石	Three Lives Stone	Established Underworld structure in approved manuscript Ch.937-938, paragraphs73779/73854. Recovered before Ch.1364 and retained by owner.
无量佛	Immeasurable Buddha	Owner approved the proposed designation before Ch.1365 through Continue and retained it in the revision. Normally the Immeasurable Buddha; a designation of the World-Honored One in this passage, not another being.
阿弥陀佛	Amitabha	Established Buddhist chant, retained by owner Ch.1365. Its utterance is a chant, never invocation. Preserve the novel's own explanation without introducing external doctrinal corrections.
阿弥陀	Amita	Established abbreviated form in approved manuscript, recovered before Ch.1365. Use where source omits 佛; do not truncate full 阿弥陀佛=Amitabha.
帝牟尼	Di Muni	Established World-Honored One alias, book reference2514-2515, recovered before Ch.1365 and retained by owner. Distinct source form from 帝弥陀=Di Mituo.
引路人	Guide	Owner approved before Ch.1378; plural Guides. Jun's designated role in the remnant/eighth-realm arrangement. Ordinary guides in unrelated contexts remain lowercase.
转轮池	Wheel-Turning Pool	Owner approved before Ch.1380. Trial Guardian lineage treasure and trial foundation within Responding to Emperors and Kings; restoration claims are attributed to Long Tu.
相见两忘	Meet and Forget	Owner approved before Ch.1382. Cultivating Truth's escape/memory technique; roman name. Once per target, with memories restored on meeting again; not permanent erasure.
录仙	Immortal Recorder	Approved Ch.1394; Jun's attendant and, after reincarnation, the founding Trial Guardian (reveal Ch.1395-1398). Owner Ch.1402 uses "the Immortal Recorder" in narration; omit the article in direct address. Ch.1398 寻仙 is a source typo, not another person.
均平历	Calendar of Balance	Approved Ch.1394; year 129,600 belongs to the remembered Heaven Beyond the Heavens. Do not confuse its date with the time outside that realm.
天外天	Heaven Beyond the Heavens	Approved Ch.1394 for the named realm; complete expression takes precedence over 天外 / Outer Heavens. Owner Ch.1402 repeatedly uses "the Heaven Beyond the Heavens" in narration, locatives and dialogue. Roman place name.
道册	Dao Register	Approved Ch.1393; roman artifact. Original merged into the golden book; a copy can accept names added by a later writer. Do not collapse original and copy.
道尊	Dao Venerable	Approved Ch.1393; title for Jun in the Ancient Past account, distinct from Dao Ancestor and Dao Lord.
